,UID,source,iso,country,region,subregion,name,giga_id_school,clean,class,ghsl_smod,rurban,dataset,geometry,filepath
49,OSM-VNM-NON_SCHOOL-00014233,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Chợ Chờ,,0,non_school,1,urban,train,POINT (11794937.01967365 2415093.9220811473),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00014233.jpeg
50,OSM-VNM-NON_SCHOOL-00022944,OSM,VNM,Viet Nam,Asia,South-eastern Asia,BT ca phe,,0,non_school,1,urban,train,POINT (12046700.074358482 1808492.777561611),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00022944.jpeg
51,OSM-VNM-NON_SCHOOL-00017045,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Quản Cà Phê,,0,non_school,1,urban,train,POINT (11849142.264603585 2594574.837293137),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00017045.jpeg
52,OSM-VNM-NON_SCHOOL-00021011,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Bánh Đa Cua Hải Phòng,,0,non_school,1,urban,train,POINT (12027362.876932273 1423496.0178157242),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00021011.jpeg
53,OSM-VNM-NON_SCHOOL-00017894,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Quầy thuốc Lê Văn Hào,,0,non_school,1,urban,train,POINT (12128392.43927458 1668796.3413517328),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00017894.jpeg
54,OSM-VNM-NON_SCHOOL-00006051,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,0,urban,train,POINT (11766419.526480703 2102107.9283206007),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00006051.jpeg
55,OSM-VNM-NON_SCHOOL-00021870,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Nhà Hàng Ầu Ơ Bếp Việt,,0,non_school,1,urban,train,POINT (11783912.493902938 2394426.3183178515),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00021870.jpeg
56,OSM-VNM-NON_SCHOOL-00003717,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Ngân hàng Nhà nước Việt Nam,,0,non_school,1,urban,train,POINT (12033631.722736806 1224145.268201254),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00003717.jpeg
57,OSM-VNM-NON_SCHOOL-00006232,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Duong Dong Petro,,0,non_school,1,urban,train,POINT (12072080.472981384 1324790.5994690452),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00006232.jpeg
58,OSM-VNM-NON_SCHOOL-00002291,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Chợ Quang Thiện,,0,non_school,1,urban,train,POINT (11811895.430901099 2284948.1633814825),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00002291.jpeg
59,OSM-VNM-NON_SCHOOL-00000299,OSM,VNM,Viet Nam,Asia,South-eastern Asia,NhuQuynh Coffee,,0,non_school,0,urban,train,POINT (12049914.090696666 1816158.1578721465),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00000299.jpeg
60,OSM-VNM-NON_SCHOOL-00009478,OSM,VNM,Viet Nam,Asia,South-eastern Asia,The Zero Coffee,,0,non_school,1,urban,train,POINT (11888990.412166927 1218192.641714651),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00009478.jpeg
61,OSM-VNM-NON_SCHOOL-00018601,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Cà Phê Osaka-Hunten,,0,non_school,1,urban,train,POINT (11878611.316803835 1201720.7843487158),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00018601.jpeg
62,OSM-VNM-NON_SCHOOL-00021649,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11633753.298813421 2465508.200496727),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00021649.jpeg
63,OSM-VNM-NON_SCHOOL-00006865,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,0,urban,train,POINT (12161366.051683981 1522902.3162023663),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00006865.jpeg
64,OSM-VNM-NON_SCHOOL-00013183,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11573348.226163246 1143047.9411216571),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00013183.jpeg
65,OSM-VNM-NON_SCHOOL-00025810,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Cây 68,,0,non_school,0,urban,train,POINT (11869192.574687816 2415130.337789248),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00025810.jpeg
66,OSM-VNM-NON_SCHOOL-00004772,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Cafe Hoàng Nghi,,0,non_school,1,urban,train,POINT (12123048.101841087 1636925.8254698212),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00004772.jpeg
67,OSM-VNM-NON_SCHOOL-00001898,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11930262.002059046 1174976.7679583223),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00001898.jpeg
68,OSM-VNM-NON_SCHOOL-00023188,OSM,VNM,Viet Nam,Asia,South-eastern Asia,QT Thịnh Tâm ( Tạ Thị Ánh Hoa ) thôn Ea Cung xã Cư Né,,0,non_school,1,urban,train,POINT (12048319.550310543 1468694.9340775027),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00023188.jpeg
69,OSM-VNM-NON_SCHOOL-00022119,OSM,VNM,Viet Nam,Asia,South-eastern Asia,QA-Lẩu dê Trường giang-Tổ 1-Ấp 2- TT.Tân Khai- Huyện hớn quản-tỉnh bình phước ( Chợ Tân Khai),,0,non_school,1,urban,train,POINT (11868460.31507738 1294467.2432851905),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00022119.jpeg
70,OSM-VNM-NON_SCHOOL-00027656,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Chùa Phước Hưng,,0,non_school,1,urban,train,POINT (11866634.675428368 1177176.1274293123),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00027656.jpeg
71,OSM-VNM-NON_SCHOOL-00029271,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Cơm sinh viên,,0,non_school,1,urban,train,POINT (11775720.603894956 2396744.575267802),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00029271.jpeg
73,OSM-VNM-NON_SCHOOL-00010548,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (12156447.95658074 1376596.2261911074),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00010548.jpeg
75,OSM-VNM-NON_SCHOOL-00025163,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Hải Vân Viên,,0,non_school,1,urban,train,POINT (12037828.5788592 1821633.801334763),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00025163.jpeg
76,OSM-VNM-NON_SCHOOL-00026883,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Nhà hàng Đồng Khởi 2 TTC,,0,non_school,1,urban,train,POINT (11841605.7124379 1146598.247545955),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00026883.jpeg
77,OSM-VNM-NON_SCHOOL-00014535,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Lotteria,,0,non_school,1,urban,train,POINT (11773411.837655906 2396245.190629453),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00014535.jpeg
78,OSM-VNM-NON_SCHOOL-00011480,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Ngân hàng Phát Triển Việt Nam,,0,non_school,1,urban,train,POINT (11776259.72418887 1122332.6712887727),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00011480.jpeg
79,OSM-VNM-NON_SCHOOL-00025143,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Đình Mục Uyên,,0,non_school,0,urban,train,POINT (11749179.25430257 2393909.2301129457),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00025143.jpeg
80,OSM-VNM-NON_SCHOOL-00005620,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Mì Vịt Tiềm,,0,non_school,1,urban,train,POINT (11839936.142714983 1144919.879189023),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00005620.jpeg
81,OSM-VNM-NON_SCHOOL-00015780,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Chè Thái Liên,,0,non_school,0,urban,train,POINT (12046678.033099303 1811742.809948587),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00015780.jpeg
82,OSM-VNM-NON_SCHOOL-00028445,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Thuỳ Trang,,0,non_school,1,urban,train,POINT (11923653.186529625 1163398.041801583),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00028445.jpeg
83,OSM-VNM-NON_SCHOOL-00013340,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Chùa Phú Lăng,,0,non_school,1,urban,train,POINT (11793615.212039974 2295181.3143683434),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00013340.jpeg
84,OSM-VNM-NON_SCHOOL-00014236,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Sai Gon Silicon,,0,non_school,1,urban,train,POINT (11919110.126790864 1156953.5660126223),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00014236.jpeg
85,OSM-VNM-NON_SCHOOL-00006910,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (12159309.980689028 1514281.1276437417),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00006910.jpeg
86,OSM-VNM-NON_SCHOOL-00013128,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Samwon,,0,non_school,1,urban,train,POINT (12048943.273417456 1812718.673559106),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00013128.jpeg
87,OSM-VNM-NON_SCHOOL-00008755,OSM,VNM,Viet Nam,Asia,South-eastern Asia,QTD nhân dân Tân Hiệp,,0,non_school,1,urban,train,POINT (11838036.141646123 1169527.5341955966),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00008755.jpeg
88,OSM-VNM-NON_SCHOOL-00013777,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Nhà Hàng Đất Phương Nam,,0,non_school,1,urban,train,POINT (11876318.691890946 1208288.2406625978),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00013777.jpeg
89,OSM-VNM-NON_SCHOOL-00012092,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11837925.156113803 1161850.9528872515),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00012092.jpeg
91,OSM-VNM-NON_SCHOOL-00014147,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Khiết Tiên Quán,,0,non_school,1,urban,train,POINT (11928726.46100304 1166681.4446606496),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00014147.jpeg
92,OSM-VNM-NON_SCHOOL-00002137,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11873993.450367255 1212979.4566265962),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00002137.jpeg
93,OSM-VNM-NON_SCHOOL-00017088,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (12113155.027374797 1702505.1354115328),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00017088.jpeg
94,OSM-VNM-NON_SCHOOL-00015331,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Từ Quý,,0,non_school,1,urban,train,POINT (11869645.756334838 1974986.5058983637),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00015331.jpeg
